code,coding_system,description,entity,list_name,upload_date,medcode,CharlsonCategory
66Yg.00,Read,chronic obstructive pulmonary disease disturbs sleep,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,45770,Chronic pulmonary disease
66Yh.00,Read,chronic obstructive pulmonary disease does not disturb sleep,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,45771,Chronic pulmonary disease
66Yi.00,Read,multiple copd emergency hospital admissions,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,46036,Chronic pulmonary disease
66YI.00,Read,copd self-management plan given,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,18501,Chronic pulmonary disease
66YL.00,Read,chronic obstructive pulmonary disease follow-up,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,18621,Chronic pulmonary disease
66YL.11,Read,copd follow-up,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,18476,Chronic pulmonary disease
66YL.12,Read,coad follow-up,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,42624,Chronic pulmonary disease
66YM.00,Read,chronic obstructive pulmonary disease annual review,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,11287,Chronic pulmonary disease
66YS.00,Read,chronic obstructive pulmonary disease monitoring by nurse,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,26018,Chronic pulmonary disease
66YT.00,Read,chronic obstructive pulmonary disease monitoring by doctor,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,45998,Chronic pulmonary disease
68W2400,Read,bowel scope (flexible sigmoidoscopy) screen: cancer detected,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,108905,"Any tumour, leukaemia, lymphoma"
7004300,Read,evacuation of intracerebral haematoma nec,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,7017,Cerebrovascular disease
7609,Read,open operations on oesophageal varices,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,24220,Moderate/severe liver disease
7609300,Read,local ligation of oesophageal varices,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,43404,Moderate/severe liver disease
7609400,Read,open injection sclerotherapy to oesophageal varices,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,20912,Moderate/severe liver disease
7609y00,Read,other specified open operation on oesophageal varices,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,107975,Moderate/severe liver disease
7609z00,Read,open operation on oesophageal varices nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,20233,Moderate/severe liver disease
760C300,Read,fibreoptic endoscopic injection sclerotherapy oesoph varices,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,11960,Moderate/severe liver disease
760C500,Read,fibreoptic endoscopic banding of oesophageal varices,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,16759,Moderate/severe liver disease
760F300,Read,rigid oesophagoscopic injection sclerotherapy oesoph varices,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,47214,Moderate/severe liver disease
760F400,Read,rigid oesophagoscopic banding of oesophageal varices,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,46647,Moderate/severe liver disease
7612111,Read,balfour excision of gastric ulcer,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,92695,Peptic ulcer disease
7612500,Read,resection of gastric ulcer by cautery,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,64710,Peptic ulcer disease
761D500,Read,endoscopic injection haemostasis of duodenal ulcer,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,45981,Peptic ulcer disease
761D600,Read,endoscopic injection haemostasis of gastric ulcer,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,63718,Peptic ulcer disease
761J.00,Read,operations on gastric ulcer,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,23688,Peptic ulcer disease
761J000,Read,closure of perforated gastric ulcer,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,20677,Peptic ulcer disease
761J100,Read,closure of gastric ulcer nec,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,64014,Peptic ulcer disease
761J.11,Read,stomach ulcer operations,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,6865,Peptic ulcer disease
761J111,Read,suture of ulcer of stomach nec,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,70005,Peptic ulcer disease
